id,own_race,rating_qualified,rating_trust,rating_appliestome,income,risk_pre,messenger_race,messenger_role,video_length,nma_treat_original,nma_treat
5547,white,5,5,7,3,0,black,doc,short,,0
13620,black,6,6,4,3,0,black,doc,short,1.0,0
5222,black,5,5,6,6,5,black,doc,short,,0
6859,white,6,6,6,2,5,white,doc,short,,0
18906,black,4,6,4,11,3,black,lay,short,1.0,0
12662,black,6,6,6,3,0,white,doc,short,1.0,0
5638,black,5,4,4,5,0,white,doc,long,,1
13506,black,5,1,4,1,3,black,doc,short,0.0,0
13164,black,6,5,5,4,3,white,doc,short,1.0,0
14293,black,7,6,6,12,8,black,doc,short,1.0,0
9955,white,5,5,4,8,0,black,doc,short,0.0,0
11140,black,6,7,6,1,2,white,doc,long,0.0,1
17766,black,6,6,6,3,3,white,doc,long,0.0,1
6497,white,4,1,1,8,0,white,doc,short,,0
10751,white,6,6,6,8,3,white,doc,short,1.0,0
6765,white,6,6,6,12,3,white,doc,short,,0
14661,black,7,7,7,3,0,black,doc,short,0.0,0
12519,black,5,5,6,4,2,white,doc,long,1.0,1
17695,white,5,6,7,3,6,white,doc,short,0.0,0
5907,black,5,5,5,4,0,black,lay,short,,0
19206,white,7,7,6,4,3,white,doc,short,1.0,0
6603,white,5,5,6,2,4,white,doc,short,,0
8741,white,5,1,1,5,5,white,doc,short,1.0,0
7401,black,5,5,5,1,0,white,doc,long,,1
4877,white,5,5,4,1,2,white,doc,short,,0
4836,black,5,5,5,3,6,white,doc,long,,1
19275,white,1,1,1,5,1,white,doc,short,0.0,0
6535,white,5,5,5,5,0,black,doc,short,,0
10837,white,1,1,5,3,2,white,doc,short,1.0,0
9074,black,5,5,6,7,1,black,doc,short,1.0,0
17349,white,5,5,5,1,0,white,doc,short,1.0,0
20300,white,1,1,1,11,0,white,doc,short,1.0,0
9551,white,1,1,1,11,0,black,doc,short,0.0,0
10015,black,7,6,6,2,2,black,doc,short,1.0,0
13323,black,1,1,1,1,3,black,lay,short,1.0,0
17728,white,6,6,6,5,6,black,doc,short,1.0,0
20282,white,5,4,6,9,0,white,doc,short,1.0,0
12917,black,6,6,6,1,0,black,lay,short,1.0,0
19992,black,5,5,5,6,7,black,doc,short,1.0,0
5917,white,6,6,6,7,3,white,doc,short,,0
17538,white,1,1,1,4,10,black,doc,short,0.0,0
7236,black,7,6,4,3,2,black,doc,short,,0
6278,white,5,5,5,5,0,white,doc,short,,0
4854,black,6,6,6,1,0,white,doc,short,,0
9210,black,1,1,1,3,0,black,lay,short,1.0,0
7764,black,5,5,5,1,2,black,lay,short,,0
12848,black,6,6,4,3,0,white,doc,long,0.0,1
5129,black,1,1,1,2,0,white,doc,short,,0
5409,black,1,7,6,2,0,black,lay,short,,0
16217,white,5,6,6,8,5,white,doc,short,1.0,0
11769,black,5,5,6,8,0,white,doc,short,1.0,0
19363,white,5,5,5,2,0,white,doc,short,0.0,0
13857,black,1,5,5,8,2,black,doc,short,1.0,0
15318,black,7,7,7,2,10,black,doc,short,1.0,0
17852,white,5,6,6,8,7,white,doc,short,0.0,0
4971,black,5,5,1,5,0,white,doc,long,,1
6019,white,5,5,7,6,1,black,doc,short,,0
13413,white,5,4,4,8,1,black,doc,short,0.0,0
16407,white,6,6,6,2,3,black,doc,short,0.0,0
20280,white,5,1,4,3,2,black,doc,short,1.0,0
20554,black,5,5,1,5,0,white,doc,short,1.0,0
10300,white,5,5,5,6,6,white,doc,short,0.0,0
20691,black,4,4,4,4,0,white,doc,long,1.0,1
17795,white,6,6,6,2,3,white,doc,short,1.0,0
14164,black,7,7,1,5,3,white,doc,short,1.0,0
11279,white,1,1,1,2,10,black,doc,short,0.0,0
11287,white,5,5,5,4,3,white,doc,short,1.0,0
9303,white,6,6,6,3,5,white,doc,short,0.0,0
6657,white,5,5,5,3,0,white,doc,short,,0
10886,white,6,6,4,1,0,white,doc,short,1.0,0
14743,black,5,5,5,1,0,black,doc,short,1.0,0
12343,black,4,4,4,8,0,white,doc,short,0.0,0
6423,white,4,4,5,8,1,white,doc,short,,0
15009,black,5,1,1,2,0,white,doc,long,0.0,1
8385,white,5,4,4,2,0,black,doc,short,0.0,0
7680,black,5,5,1,4,0,black,doc,short,,0
5513,white,6,6,1,2,1,black,doc,short,,0
9011,white,5,5,5,5,1,black,doc,short,1.0,0
16776,white,5,5,5,8,0,black,doc,short,0.0,0
4639,black,5,5,1,2,1,white,doc,short,,0
6529,white,5,4,4,2,1,white,doc,short,,0
14355,black,1,1,1,4,0,black,lay,short,1.0,0
9727,black,7,5,4,6,5,black,doc,short,0.0,0
8231,white,5,5,5,1,0,black,doc,short,0.0,0
5555,black,5,5,5,4,5,black,lay,short,,0
18378,black,5,1,1,7,0,black,doc,short,0.0,0
7816,black,5,5,5,2,0,black,lay,short,,0
6181,white,5,6,6,2,3,white,doc,short,,0
5074,black,1,6,4,8,1,black,doc,short,,0
6777,white,1,1,1,8,2,black,doc,short,,0
16725,white,5,5,5,7,3,black,doc,short,1.0,0
13073,black,5,1,1,1,0,white,doc,long,1.0,1
9138,black,5,5,5,4,0,white,doc,short,0.0,0
18861,black,6,4,6,3,8,white,doc,long,1.0,1
9097,white,5,5,5,2,8,black,doc,short,1.0,0
7487,black,5,5,5,2,5,white,doc,long,,1
8515,white,1,5,1,11,5,black,doc,short,0.0,0
10289,white,1,1,5,8,0,white,doc,short,1.0,0
6080,black,1,1,1,1,0,black,lay,short,,0
4851,black,5,1,6,11,0,white,doc,long,,1
8669,black,4,1,5,6,1,black,lay,short,0.0,0
10926,white,5,4,1,1,0,black,doc,short,0.0,0
20229,black,6,5,1,1,0,white,doc,long,0.0,1
17231,black,5,6,5,1,0,black,lay,short,0.0,0
17923,white,5,1,5,1,2,white,doc,short,0.0,0
9532,white,5,5,5,8,0,black,doc,short,0.0,0
16334,white,5,4,6,8,0,white,doc,short,1.0,0
16953,white,4,1,5,12,2,white,doc,short,1.0,0
9709,black,4,5,5,6,5,black,lay,short,0.0,0
8395,white,5,5,5,6,4,black,doc,short,1.0,0
6449,white,5,5,5,9,1,black,doc,short,,0
12317,black,5,5,5,7,0,black,lay,short,1.0,0
8348,white,7,7,7,3,10,black,doc,short,1.0,0
11890,black,5,5,5,1,1,white,doc,short,1.0,0
9023,black,6,6,6,2,5,white,doc,long,0.0,1
7525,black,5,6,6,3,0,black,lay,short,,0
19027,black,7,7,7,3,4,white,doc,short,1.0,0
12710,black,6,5,4,1,0,white,doc,long,0.0,1
16132,black,6,5,6,3,0,white,doc,long,0.0,1
18759,black,5,5,6,4,2,black,lay,short,0.0,0
18972,black,6,5,5,4,3,black,lay,short,1.0,0
12871,black,6,6,7,1,0,white,doc,long,1.0,1
10895,white,7,7,7,2,3,white,doc,short,0.0,0
7328,black,5,6,7,1,0,black,lay,short,,0
10687,white,5,5,5,8,1,black,doc,short,1.0,0
10911,white,6,6,6,7,2,white,doc,short,0.0,0
17074,white,5,5,6,4,3,white,doc,short,1.0,0
10240,white,6,5,6,7,2,black,doc,short,1.0,0
17840,black,5,5,5,1,0,white,doc,short,0.0,0
19662,black,5,6,7,1,5,black,doc,short,1.0,0
19989,black,5,5,6,11,4,white,doc,long,0.0,1
8875,white,5,5,6,7,3,white,doc,short,0.0,0
8918,white,5,5,6,2,7,white,doc,short,1.0,0
3882,white,6,6,5,3,0,white,doc,short,,0
9197,black,6,6,6,11,2,white,doc,long,1.0,1
13878,black,5,5,6,4,5,white,doc,short,0.0,0
19711,black,7,4,5,1,9,white,doc,long,1.0,1
7719,black,6,6,6,2,0,black,lay,short,,0
7514,black,6,6,6,1,2,white,doc,long,,1
18914,black,5,5,1,4,0,white,doc,short,0.0,0
8765,white,5,1,6,4,1,white,doc,short,0.0,0
5976,black,6,5,6,4,0,black,doc,short,,0
5241,black,5,4,6,1,5,black,lay,short,,0
7605,black,5,4,6,1,0,black,lay,short,,0
19375,black,5,6,5,2,5,white,doc,long,0.0,1
9749,black,6,6,5,4,0,black,doc,short,1.0,0
13708,black,7,5,5,3,0,white,doc,long,1.0,1
8627,black,6,6,6,1,9,black,doc,short,0.0,0
20521,white,7,7,7,5,6,white,doc,short,0.0,0
9587,white,5,6,6,4,4,white,doc,short,0.0,0
10867,black,6,6,6,5,0,white,doc,short,1.0,0
15507,black,7,6,7,4,0,white,doc,short,1.0,0
8890,black,4,4,6,4,2,black,lay,short,1.0,0
11766,black,6,6,6,7,0,white,doc,long,1.0,1
4031,white,7,6,7,5,0,black,doc,short,,0
13306,white,5,5,6,6,8,black,doc,short,0.0,0
9418,white,5,5,6,2,0,black,doc,short,1.0,0
6569,white,6,6,6,2,1,white,doc,short,,0
18821,black,6,4,4,2,0,white,doc,short,0.0,0
8785,white,6,6,6,8,6,black,doc,short,1.0,0
20284,black,1,1,4,4,0,white,doc,short,0.0,0
4681,black,6,5,4,4,2,black,doc,short,,0
20448,white,6,6,5,1,0,black,doc,short,0.0,0
16785,white,6,6,5,6,2,white,doc,short,1.0,0
13966,black,6,5,6,1,5,white,doc,long,0.0,1
16169,black,6,6,6,1,0,white,doc,short,1.0,0
10467,black,5,5,7,3,0,black,lay,short,0.0,0
20519,white,5,1,6,10,3,black,doc,short,1.0,0
9940,black,6,5,5,6,3,white,doc,long,0.0,1
8747,white,6,6,7,3,6,white,doc,short,0.0,0
7752,black,6,6,7,1,4,black,lay,short,,0
13092,black,5,5,1,2,0,white,doc,long,0.0,1
9665,black,6,6,6,1,7,black,lay,short,0.0,0
18979,black,6,6,6,1,0,black,doc,short,0.0,0
6147,white,7,7,7,3,10,black,doc,short,,0
7324,black,7,5,5,4,0,black,lay,short,,0
12612,black,6,7,5,1,1,black,doc,short,0.0,0
18492,black,7,6,5,4,0,black,lay,short,0.0,0
16310,white,5,5,5,7,0,black,doc,short,0.0,0
7533,black,6,6,6,3,5,white,doc,long,,1
7178,black,6,6,6,4,0,black,doc,short,,0
15677,black,4,5,6,1,0,white,doc,short,0.0,0
13155,black,5,5,6,1,5,white,doc,long,1.0,1
10633,white,5,5,4,2,7,white,doc,short,1.0,0
6688,white,6,5,6,6,4,black,doc,short,,0
9188,black,5,5,5,5,0,white,doc,short,0.0,0
5431,black,7,6,6,8,0,black,doc,short,,0
6455,white,6,6,6,2,2,white,doc,short,,0
18889,black,5,5,5,11,0,black,lay,short,0.0,0
4322,black,6,6,6,3,1,white,doc,short,,0
4126,white,6,6,4,8,0,black,doc,short,,0
10323,white,5,6,6,4,4,white,doc,short,0.0,0
11438,black,7,7,7,2,4,white,doc,short,0.0,0
17967,black,5,5,6,7,0,black,lay,short,0.0,0
15971,black,6,6,6,2,3,black,doc,short,0.0,0
6495,white,5,6,4,5,0,black,doc,short,,0
11340,black,5,5,6,5,5,white,doc,long,0.0,1
18790,black,6,6,6,2,3,black,doc,short,0.0,0
19608,black,1,1,1,4,0,black,lay,short,1.0,0
15501,black,1,1,1,1,0,black,doc,short,0.0,0
20139,black,4,7,1,1,7,white,doc,long,0.0,1
10140,black,6,6,6,8,10,white,doc,short,1.0,0
20019,black,7,7,7,1,0,white,doc,short,1.0,0
17527,white,1,4,5,1,3,white,doc,short,1.0,0
7253,black,6,6,4,2,2,white,doc,short,,0
7577,black,7,7,7,12,0,white,doc,short,,0
9335,black,1,1,1,3,0,black,lay,short,0.0,0
7476,black,5,5,5,1,5,white,doc,long,,1
4824,black,5,5,5,2,0,white,doc,long,,1
19368,black,6,6,6,6,0,white,doc,long,1.0,1
19424,black,5,5,5,1,0,white,doc,short,1.0,0
4595,black,6,5,6,1,3,white,doc,long,,1
6572,white,6,6,5,5,0,black,doc,short,,0
8632,white,6,6,6,12,6,white,doc,short,0.0,0
9523,white,5,6,5,5,2,white,doc,short,0.0,0
15659,black,6,7,7,1,5,black,doc,short,1.0,0
9464,white,6,5,6,5,2,black,doc,short,1.0,0
4158,white,4,4,4,1,0,black,doc,short,,0
13534,black,7,7,7,1,2,black,doc,short,0.0,0
4835,black,6,6,4,3,0,black,doc,short,,0
19579,black,5,5,5,2,5,white,doc,short,1.0,0
4791,black,5,5,5,1,0,white,doc,long,,1
9346,black,5,5,5,2,1,black,lay,short,0.0,0
8160,black,7,7,7,5,0,white,doc,long,1.0,1
9185,black,6,5,6,3,0,black,doc,short,0.0,0
15232,black,6,5,7,4,5,black,doc,short,0.0,0
10446,black,7,7,7,2,0,black,lay,short,1.0,0
9666,white,7,7,7,5,5,black,doc,short,0.0,0
12212,black,6,6,6,1,5,black,doc,short,0.0,0
6505,white,5,5,5,7,5,white,doc,short,,0
5175,black,7,7,7,3,0,black,doc,short,,0
9897,black,5,5,6,1,2,black,doc,short,1.0,0
17091,black,5,4,5,2,0,white,doc,long,1.0,1
7410,black,5,5,5,1,7,black,doc,short,,0
19183,white,5,5,5,7,0,black,doc,short,1.0,0
8986,white,6,7,6,1,2,white,doc,short,1.0,0
13879,black,6,7,6,3,2,black,lay,short,1.0,0
17005,white,5,6,5,7,5,black,doc,short,0.0,0
4393,black,6,6,7,1,0,black,lay,short,,0
14304,black,6,6,7,2,0,white,doc,long,1.0,1
18213,black,6,6,6,1,0,white,doc,long,1.0,1
13330,black,1,4,5,12,5,white,doc,short,1.0,0
14928,black,4,5,5,8,2,black,lay,short,1.0,0
5743,black,6,6,6,1,3,white,doc,short,,0
9341,white,7,7,7,2,1,black,doc,short,1.0,0
5365,black,6,6,6,2,7,black,lay,short,,0
16197,white,6,5,6,4,5,white,doc,short,0.0,0
6401,white,6,5,6,3,5,white,doc,short,,0
5546,white,7,7,7,4,0,black,doc,short,,0
3982,white,6,7,5,3,2,white,doc,short,,0
10108,white,6,6,6,5,5,black,doc,short,0.0,0
18840,black,5,5,6,2,3,white,doc,long,0.0,1
20024,black,6,5,4,7,2,white,doc,short,1.0,0
9363,white,1,1,1,1,0,white,doc,short,0.0,0
15885,black,7,5,5,1,2,white,doc,long,1.0,1
7216,black,5,5,5,1,5,black,doc,short,,0
19362,white,6,6,6,5,0,white,doc,short,1.0,0
18107,black,7,7,1,2,0,white,doc,long,1.0,1
14190,black,7,7,5,1,0,white,doc,short,0.0,0
5548,black,1,5,7,7,0,black,lay,short,,0
14551,black,7,7,7,4,1,white,doc,short,1.0,0
8255,white,5,5,5,2,0,white,doc,short,1.0,0
19973,black,6,7,7,3,3,black,doc,short,0.0,0
15601,black,6,6,6,1,7,white,doc,long,1.0,1
6127,white,7,7,7,8,5,black,doc,short,,0
10293,white,5,5,7,3,3,black,doc,short,1.0,0
13845,black,6,6,6,1,0,black,lay,short,1.0,0
14887,white,7,7,7,3,2,black,doc,short,0.0,0
11546,black,6,6,6,1,1,black,lay,short,1.0,0
16505,white,4,1,5,1,3,white,doc,short,1.0,0
5455,black,6,5,5,2,6,black,doc,short,,0
8557,white,6,7,6,7,5,black,doc,short,0.0,0
9538,white,6,6,6,8,2,black,doc,short,0.0,0
5767,black,6,6,6,1,3,white,doc,long,,1
5932,black,7,7,7,2,9,black,doc,short,,0
4955,black,5,5,5,2,0,black,lay,short,,0
13905,black,7,6,6,6,7,white,doc,long,1.0,1
8334,white,7,7,7,4,10,black,doc,short,0.0,0
8056,black,5,5,6,3,2,black,lay,short,,0
18013,black,5,5,5,1,3,white,doc,short,1.0,0
4899,black,5,1,1,1,3,black,lay,short,,0
8475,white,4,4,4,7,2,black,doc,short,1.0,0
19141,white,6,6,6,3,6,white,doc,short,0.0,0
9753,black,5,4,4,4,0,white,doc,short,0.0,0
8373,white,6,5,5,2,5,white,doc,short,1.0,0
7279,black,5,5,5,9,6,black,doc,short,,0
14792,black,7,6,1,12,3,black,doc,short,1.0,0
15049,black,6,6,6,5,1,black,doc,short,1.0,0
4504,black,4,4,4,1,5,black,doc,short,,0
13743,black,7,7,7,3,0,black,lay,short,0.0,0
15239,white,5,5,5,6,3,white,doc,short,1.0,0
10309,white,5,5,6,2,0,black,doc,short,0.0,0
8353,white,6,7,6,8,5,white,doc,short,0.0,0
7795,black,7,7,6,3,0,black,lay,short,,0
9602,white,5,5,6,11,7,white,doc,short,1.0,0
6796,white,6,6,6,6,3,white,doc,short,,0
8867,black,5,5,5,2,7,black,lay,short,0.0,0
7827,black,7,7,7,11,10,white,doc,long,,1
10949,white,6,7,7,5,0,black,doc,short,0.0,0
8345,white,6,6,6,2,4,white,doc,short,1.0,0
14470,black,7,7,7,4,0,black,doc,short,0.0,0
20198,black,1,4,5,1,0,black,lay,short,1.0,0
18881,black,7,7,7,3,0,white,doc,long,0.0,1
15615,black,1,1,1,6,5,black,lay,short,1.0,0
4831,black,1,1,1,1,0,white,doc,short,,0
15950,black,6,5,4,4,0,white,doc,short,0.0,0
7774,black,1,4,4,2,2,black,doc,short,,0
13013,black,7,6,6,11,2,black,doc,short,0.0,0
4597,black,6,5,6,1,0,black,doc,short,,0
20083,black,5,5,6,1,0,black,lay,short,0.0,0
13566,white,5,6,7,8,0,white,doc,short,1.0,0
9160,white,6,6,6,1,2,black,doc,short,1.0,0
18362,black,5,6,5,6,0,black,doc,short,0.0,0
12119,black,6,4,6,1,0,black,doc,short,0.0,0
12702,black,6,6,6,7,4,white,doc,long,1.0,1
12266,black,6,6,6,11,0,black,doc,short,0.0,0
12776,black,7,7,7,1,5,white,doc,long,0.0,1
8640,white,5,5,6,1,2,black,doc,short,1.0,0
4290,white,6,6,7,7,0,white,doc,short,,0
10219,white,6,6,6,2,4,black,doc,short,0.0,0
19257,white,5,6,6,8,8,white,doc,short,1.0,0
20177,black,5,5,5,2,0,white,doc,short,1.0,0
19172,white,5,5,6,5,3,black,doc,short,1.0,0
13482,black,7,6,6,1,2,white,doc,long,1.0,1
6116,white,6,5,6,2,2,white,doc,short,,0
9098,black,5,5,5,2,0,white,doc,long,1.0,1
14002,black,5,6,5,1,1,black,lay,short,0.0,0
9298,white,7,7,7,3,0,white,doc,short,1.0,0
19522,black,1,1,1,3,0,white,doc,short,0.0,0
11865,black,4,5,4,1,2,black,lay,short,0.0,0
10897,white,6,6,6,5,5,black,doc,short,1.0,0
9642,white,4,6,6,1,6,white,doc,short,1.0,0
4830,black,5,5,5,2,5,white,doc,short,,0
10793,white,5,6,6,2,5,white,doc,short,1.0,0
9475,white,4,5,5,6,0,black,doc,short,0.0,0
19976,black,5,4,6,5,0,white,doc,long,1.0,1
16436,white,6,1,6,4,5,black,doc,short,1.0,0
8524,white,5,6,6,1,5,black,doc,short,1.0,0
19396,black,6,5,6,1,4,white,doc,short,1.0,0
18665,black,6,7,7,1,10,white,doc,short,1.0,0
6201,white,6,5,6,1,4,white,doc,short,,0
9681,black,5,5,5,1,0,black,lay,short,1.0,0
11246,white,6,6,6,7,6,white,doc,short,1.0,0
11233,white,5,5,6,10,8,black,doc,short,0.0,0
8824,white,5,4,6,4,7,white,doc,short,1.0,0
13545,black,5,6,6,3,0,white,doc,short,0.0,0
9143,white,5,5,5,3,0,black,doc,short,0.0,0
5106,white,6,5,1,2,0,black,doc,short,,0
5301,black,7,7,7,9,0,black,doc,short,,0
12948,black,5,5,5,5,0,black,doc,short,0.0,0
12501,black,5,5,5,5,3,white,doc,short,0.0,0
15435,black,6,6,6,3,3,black,doc,short,1.0,0
15800,black,5,5,5,2,0,black,lay,short,0.0,0
8658,black,6,6,6,2,3,white,doc,short,0.0,0
16869,white,4,6,5,8,6,white,doc,short,0.0,0
16053,black,7,5,6,5,3,black,doc,short,1.0,0
5388,black,6,6,6,1,0,white,doc,short,,0
12297,black,5,6,6,1,0,white,doc,short,1.0,0
4097,white,5,5,5,8,3,black,doc,short,,0
7803,black,1,1,1,1,5,white,doc,long,,1
7129,black,4,4,5,3,8,white,doc,short,,0
19623,black,5,5,6,3,0,black,doc,short,0.0,0
12915,black,7,6,7,7,3,black,lay,short,0.0,0
8397,black,6,6,6,3,0,black,doc,short,0.0,0
8584,white,6,6,6,5,7,black,doc,short,0.0,0
15427,white,5,5,6,6,3,black,doc,short,0.0,0
19033,black,1,1,6,6,3,white,doc,long,0.0,1
13273,black,5,5,5,2,0,black,doc,short,1.0,0
14182,black,6,5,1,1,0,black,lay,short,1.0,0
15886,black,5,6,6,1,5,black,lay,short,1.0,0
13433,black,5,7,7,7,3,black,doc,short,0.0,0
11296,black,6,6,7,5,5,white,doc,short,0.0,0
13258,white,5,5,7,8,2,white,doc,short,0.0,0
6342,white,6,7,6,5,7,white,doc,short,,0
15290,black,6,5,5,1,4,black,lay,short,0.0,0
15036,black,6,7,6,3,9,white,doc,short,0.0,0
16537,white,1,1,1,3,10,black,doc,short,0.0,0
20407,white,6,6,6,7,0,white,doc,short,1.0,0
8020,black,6,5,6,3,0,white,doc,short,,0
20809,black,6,1,6,3,10,white,doc,short,0.0,0
7442,black,6,6,5,1,0,white,doc,long,,1
10840,white,7,7,6,5,2,white,doc,short,1.0,0
9857,black,6,6,6,4,9,white,doc,long,1.0,1
4727,black,7,6,6,2,8,black,doc,short,,0
7161,black,5,5,5,2,0,white,doc,long,,1
18705,black,5,5,5,8,0,white,doc,short,0.0,0
12047,black,5,5,6,5,4,white,doc,long,0.0,1
5226,black,6,6,6,3,0,white,doc,short,,0
18730,black,1,4,5,1,0,white,doc,long,0.0,1
6178,white,6,6,6,1,1,white,doc,short,,0
14740,black,6,5,6,2,0,white,doc,short,0.0,0
8972,white,1,5,1,7,0,black,doc,short,0.0,0
14287,black,6,5,5,2,10,black,lay,short,0.0,0
15592,black,6,6,6,6,5,black,lay,short,0.0,0
9113,black,6,6,6,1,5,black,doc,short,0.0,0
20339,white,5,5,6,2,2,white,doc,short,0.0,0
11850,black,5,5,5,3,1,white,doc,short,1.0,0
6267,white,6,6,6,3,8,white,doc,short,,0
18209,black,5,6,6,1,10,white,doc,short,0.0,0
9826,black,7,7,6,3,3,white,doc,short,0.0,0
11261,white,6,5,5,1,0,white,doc,short,1.0,0
7964,black,6,6,4,1,1,white,doc,long,,1
18442,black,6,6,6,1,0,black,lay,short,1.0,0
7460,black,6,6,6,2,4,white,doc,long,,1
9721,black,5,5,5,1,0,black,lay,short,1.0,0
11983,black,7,7,7,2,0,white,doc,short,1.0,0
17779,white,4,6,6,8,5,white,doc,short,1.0,0
7932,black,6,6,6,3,0,white,doc,long,,1
20437,black,6,6,6,2,0,black,lay,short,1.0,0
19594,black,6,6,6,1,10,black,lay,short,0.0,0
9120,white,7,7,7,2,10,white,doc,short,1.0,0
8635,white,5,6,6,7,2,black,doc,short,0.0,0
14783,black,4,7,4,1,0,white,doc,short,1.0,0
16587,black,5,5,5,4,3,black,doc,short,0.0,0
11936,black,6,6,5,8,2,white,doc,short,0.0,0
16110,black,5,5,5,8,0,white,doc,short,0.0,0
14787,black,1,4,1,2,5,white,doc,long,0.0,1
20051,black,5,5,5,3,1,white,doc,long,1.0,1
17044,black,5,4,6,2,0,black,lay,short,1.0,0
13291,white,1,1,1,8,0,black,doc,short,1.0,0
15175,black,7,6,4,4,7,black,lay,short,0.0,0
5138,black,6,6,6,1,0,black,doc,short,,0
11758,black,6,6,6,7,0,white,doc,long,0.0,1
19391,black,6,6,6,7,7,black,doc,short,0.0,0
4614,black,4,6,6,2,1,black,lay,short,,0
4514,black,6,6,6,5,0,black,lay,short,,0
9016,black,6,6,6,1,1,black,doc,short,0.0,0
14862,black,6,6,6,1,4,white,doc,short,0.0,0
19318,white,5,5,5,6,4,white,doc,short,1.0,0
17690,black,5,5,5,11,0,black,lay,short,0.0,0
17219,black,4,4,4,1,5,white,doc,long,0.0,1
10192,white,7,7,7,12,10,black,doc,short,1.0,0
20222,black,7,7,7,5,0,white,doc,short,1.0,0
5132,black,5,5,6,2,4,white,doc,short,,0
15752,black,5,5,6,2,2,black,doc,short,1.0,0
20149,black,5,5,5,1,0,black,lay,short,0.0,0
14501,white,5,5,5,1,5,black,doc,short,1.0,0
19896,black,6,4,4,5,0,black,doc,short,0.0,0
18114,black,6,6,6,11,10,white,doc,short,1.0,0
19652,black,6,6,6,1,5,black,lay,short,0.0,0
5334,black,7,7,7,1,1,white,doc,long,,1
13262,white,5,6,5,3,0,black,doc,short,1.0,0
17898,white,6,5,4,11,10,white,doc,short,0.0,0
4028,black,4,6,1,1,4,black,lay,short,,0
9474,black,4,4,4,9,10,black,lay,short,1.0,0
14687,black,5,5,5,4,0,black,lay,short,0.0,0
19358,black,7,7,7,3,10,black,doc,short,1.0,0
9086,black,5,5,5,6,5,white,doc,long,1.0,1
5248,black,6,6,4,1,0,white,doc,short,,0
15247,black,5,5,5,3,4,black,doc,short,1.0,0
13599,black,6,5,6,2,8,white,doc,short,0.0,0
7631,black,6,6,6,11,0,white,doc,short,,0
6469,white,5,5,5,11,4,white,doc,short,,0
13122,black,6,6,6,1,0,black,lay,short,0.0,0
18853,black,6,7,6,1,0,white,doc,short,0.0,0
16891,white,1,4,5,4,4,black,doc,short,0.0,0
7610,black,6,6,6,7,1,white,doc,short,,0
13850,black,5,5,5,2,1,white,doc,short,1.0,0
15028,black,5,6,6,2,4,white,doc,long,0.0,1
11147,black,7,7,7,4,10,white,doc,long,0.0,1
7750,black,7,7,7,1,0,white,doc,short,,0
7249,black,7,6,6,4,0,white,doc,short,,0
7659,black,6,6,6,3,3,black,doc,short,,0
12811,black,1,1,1,1,10,white,doc,short,1.0,0
6203,black,6,6,6,3,0,black,doc,short,,0
10750,white,6,6,7,5,5,black,doc,short,0.0,0
4795,black,4,7,4,8,7,black,lay,short,,0
15031,black,6,5,5,1,0,white,doc,short,0.0,0
19255,white,6,5,5,2,0,black,doc,short,1.0,0
