,pharmacy_lookup,sample,covid_vacc_trial,resp_black,flu_season,survey_platform,T,T_cc,T_lay,T_ackn
209,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
210,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
211,5.0,season 2 lucid2,1.0,1.0,1.0,Lucid,"CC,lay",,1.0,
212,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
213,6.0,season 2 lucid,1.0,1.0,1.0,Lucid,"CC,lay",,1.0,
214,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
215,5.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
216,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
217,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
218,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
219,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
220,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
221,5.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
222,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
223,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
224,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"CC,lay",,1.0,
225,5.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
226,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
227,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
228,5.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
229,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,D,0.0,,
230,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
231,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
232,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
233,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
234,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
235,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
236,5.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
237,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
238,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
239,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
240,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
241,5.0,season 2 lucid,1.0,1.0,1.0,Lucid,D,0.0,,0.0
242,5.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
243,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
244,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
245,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
246,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
247,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
248,5.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
249,5.0,season 2 cloudresearch,1.0,1.0,1.0,CloudResearch/Facebook,CC,1.0,0.0,
250,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
251,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
252,,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
253,5.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
254,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
255,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
256,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
257,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
258,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
259,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
260,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
261,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
262,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
263,6.0,season 2 qualtrics,1.0,1.0,1.0,Qualtrics S2,CC,1.0,0.0,
264,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
265,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
266,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
267,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,CC,1.0,0.0,
268,5.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"CC,lay",,1.0,
269,,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
270,5.0,season 2 lucid,1.0,0.0,1.0,Lucid,D,0.0,,
271,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
272,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
273,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
274,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
275,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
276,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
277,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
278,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
279,,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
280,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
281,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
282,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
283,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
284,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
285,5.0,season 2 lucid2,1.0,0.0,1.0,Lucid,CC,1.0,,
286,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
287,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
288,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
289,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,CC,1.0,0.0,
290,5.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
291,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
292,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,D,0.0,,
293,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
294,5.0,season 2 lucid,1.0,0.0,1.0,Lucid,D,0.0,,
295,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
296,5.0,season 2 lucid2,1.0,0.0,1.0,Lucid,D,0.0,,
297,5.0,season 2 lucid2,2.0,0.0,1.0,Lucid,D,0.0,,
298,,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
299,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,D,0.0,,0.0
300,6.0,season 2 lucid,1.0,0.0,1.0,Lucid,CC,1.0,,
301,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
302,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
303,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
304,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
305,,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
306,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
307,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
308,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
309,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
310,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
311,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,D,0.0,,0.0
312,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
313,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
314,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
315,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
316,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
317,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
318,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,D,0.0,,
319,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
320,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
321,5.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
322,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,CC,1.0,0.0,
323,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
324,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
325,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
326,,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
327,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
328,,facebook,,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
329,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
330,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
331,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
332,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,D,0.0,,
333,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
334,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,D,0.0,,0.0
335,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
336,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
337,5.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
338,6.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,D,0.0,,
339,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
340,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
341,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
342,,season 2 lucid,,1.0,1.0,Lucid,"CC,lay",,1.0,
343,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
344,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
345,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
346,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
